id;destinacija;Aiport;Država
b244;Alicante;Bergamo;Španija
b245;Alicante;Bergamo;Španija
b246;Alicante;Bergamo;Španija
b247;Amman;Bergamo;Jordanija
b248;Amman;Bergamo;Jordanija
b249;Amman;Bergamo;Jordanija
b250;Amman;Bergamo;Jordanija
b251;Amman;Bergamo;Jordanija
b252;Amman;Bergamo;Jordanija
b253;Amman;Bergamo;Jordanija
b254;Amman;Bergamo;Jordanija
b255;Amman;Bergamo;Jordanija
b256;Amman;Bergamo;Jordanija
b257;Amman;Bergamo;Jordanija
b258;Amman;Bergamo;Jordanija
b259;Amman;Bergamo;Jordanija
b260;Amman;Bergamo;Jordanija
b261;Amman;Bergamo;Jordanija
b262;Amman;Bergamo;Jordanija
b263;Amman;Bergamo;Jordanija
b264;Amman;Bergamo;Jordanija
b265;Amman;Bergamo;Jordanija
b266;Amman;Bergamo;Jordanija
b267;Amman;Bergamo;Jordanija
b268;Amman;Bergamo;Jordanija
b269;Amman;Bergamo;Jordanija
b270;Amman;Bergamo;Jordanija
b271;Amman;Bergamo;Jordanija
b272;Amman;Bergamo;Jordanija
b273;Amman;Bergamo;Jordanija
b274;Amman;Bergamo;Jordanija
b275;Amman;Bergamo;Jordanija
b276;Amman;Bergamo;Jordanija
b277;Amman;Bergamo;Jordanija
b278;Amman;Bergamo;Jordanija
b279;Amman;Bergamo;Jordanija
b280;Amman;Bergamo;Jordanija
b281;Amman;Bergamo;Jordanija
b282;Amman;Bergamo;Jordanija
b283;Amman;Bergamo;Jordanija
b284;Amman;Bergamo;Jordanija
b285;Amman;Bergamo;Jordanija
b286;Amman;Bergamo;Jordanija
b287;Amman;Bergamo;Jordanija
b288;Amman;Bergamo;Jordanija
b289;Amman;Bergamo;Jordanija
b290;Amman;Bergamo;Jordanija
b291;Amman;Bergamo;Jordanija
b292;Amman;Bergamo;Jordanija
b293;Amman;Bergamo;Jordanija
b294;Amman;Bergamo;Jordanija
b295;Amman;Bergamo;Jordanija
b296;Amman;Bergamo;Jordanija
b297;Amman;Bergamo;Jordanija
b298;Amman;Bergamo;Jordanija
b299;Amman;Bergamo;Jordanija
b300;Amman;Bergamo;Jordanija
b301;Amman;Bergamo;Jordanija
b302;Amman;Bergamo;Jordanija
b303;Amman;Bergamo;Jordanija
b304;Amman;Bergamo;Jordanija
b305;Amman;Bergamo;Jordanija
b306;Amman;Bergamo;Jordanija
b307;Amman;Bergamo;Jordanija
b308;Amman;Bergamo;Jordanija
b309;Amman;Bergamo;Jordanija
b310;Amman;Bergamo;Jordanija
b311;Amman;Bergamo;Jordanija
b312;Amman;Bergamo;Jordanija
b313;Amman;Bergamo;Jordanija
b314;Amman;Bergamo;Jordanija
b315;Amman;Bergamo;Jordanija
b316;Amman;Bergamo;Jordanija
b317;Amman;Bergamo;Jordanija
b318;Amman;Bergamo;Jordanija
b319;Amman;Bergamo;Jordanija
b320;Amman;Bergamo;Jordanija
b321;Amman;Bergamo;Jordanija
b322;Amman;Bergamo;Jordanija
b323;Amman;Bergamo;Jordanija
b324;Amman;Bergamo;Jordanija
b325;Amman;Bergamo;Jordanija
b326;Amman;Bergamo;Jordanija
b327;Amman;Bergamo;Jordanija
b328;Amman;Bergamo;Jordanija
b329;Amman;Bergamo;Jordanija
b330;Amman;Bergamo;Jordanija
b331;Amman;Bergamo;Jordanija
b332;Amsterdam;Bergamo;Nizozemska
b333;Amsterdam;Bergamo;Nizozemska
b334;Amsterdam;Bergamo;Nizozemska
b335;Amsterdam;Bergamo;Nizozemska
b336;Amsterdam;Bergamo;Nizozemska
b337;Amsterdam;Bergamo;Nizozemska
b338;Amsterdam;Bergamo;Nizozemska
b339;Amsterdam;Bergamo;Nizozemska
b340;Amsterdam;Bergamo;Nizozemska
b341;Amsterdam;Bergamo;Nizozemska
b342;Amsterdam;Bergamo;Nizozemska
b343;Amsterdam;Bergamo;Nizozemska
