id,destinacija,datum,dan,cas 
v9581,Paris Orly,2/12/2022,PET,1:45
v9582,Paris Orly,9/12/2022,PET,1:45
v9583,Paris Orly,16/12/2022,PET,1:45
v9584,Paris Orly,23/12/2022,PET,1:45
v9585,Paris Orly,30/12/2022,PET,1:45
v9586,Paris Orly,6/1/2023,PET,1:45
v9587,Paris Orly,13/1/2023,PET,1:45
v9588,Paris Orly,20/1/2023,PET,1:45
v9589,Paris Orly,27/1/2023,PET,1:45
v9590,Paris Orly,3/2/2023,PET,1:45
v9591,Paris Orly,10/2/2023,PET,1:45
v9592,Paris Orly,17/2/2023,PET,1:45
v9593,Paris Orly,24/2/2023,PET,1:45
v9594,Paris Orly,3/3/2023,PET,1:45
v9595,Paris Orly,10/3/2023,PET,1:45
v9596,Paris Orly,17/3/2023,PET,1:45
v9597,Paris Orly,24/3/2023,PET,1:45
v9598,Paris Orly,3/11/2022,CET,1:45
v9599,Paris Orly,7/11/2022,PON,1:45
v9600,Paris Orly,10/11/2022,CET,1:45
v9601,Paris Orly,14/11/2022,PON,1:45
v9602,Paris Orly,17/11/2022,CET,1:45
v9603,Paris Orly,21/11/2022,PON,1:45
v9604,Paris Orly,24/11/2022,CET,1:45
v9605,Paris Orly,28/11/2022,PON,1:45
v9606,Paris Orly,1/12/2022,CET,1:45
v9607,Paris Orly,5/12/2022,PON,1:45
v9608,Paris Orly,8/12/2022,CET,1:45
v9609,Paris Orly,12/12/2022,PON,1:45
v9610,Paris Orly,15/12/2022,CET,1:45
v9611,Paris Orly,19/12/2022,PON,1:45
v9612,Paris Orly,22/12/2022,CET,1:45
v9613,Paris Orly,26/12/2022,PON,1:45
v9614,Paris Orly,29/12/2022,CET,1:45
v9615,Paris Orly,2/1/2023,PON,1:45
v9616,Paris Orly,5/1/2023,CET,1:45
v9617,Paris Orly,9/1/2023,PON,1:45
v9618,Paris Orly,12/1/2023,CET,1:45
v9619,Paris Orly,16/1/2023,PON,1:45
v9620,Paris Orly,19/1/2023,CET,1:45
v9621,Paris Orly,23/1/2023,PON,1:45
v9622,Paris Orly,26/1/2023,CET,1:45
